sentences,labels
Per-dim,0
haps •.11 conv'nercorpuscr/viewi nboxtransactiotxlctail...,0
16-Apr-20i8,0
llanDoubleVetification,0
ESIC,0
Employees' Stat,0
Transaction Details,0
n status:,0
Employ. r'. Coda No:,0
Name:,0
Challan C mated,0
P aid:,0
nsurance Corporation,0
GAS SEct_RE FAIT. LTD,0
12-04.0'816-49 20,0
cwm9æ7,0
Insurance.,0
2018 339-31 PM,0
Employees provident Fund Organization National Data Center,0
One Crore Ninety Lakhs Seventy Two Thousand,0
Three Hundred and Twenty Four only,0
30351766368,0
PARWANOO,0
"""CKF5955435""",0
SANJAY KUMAR,0
Counterfoil Descriptbn,0
Transactio n Type,0
Debit Details,0
30351766368,0
Beneficiary Name,0
Red paymerb,0
Emphyees Provdent FLEX* Data Cernør,0
Other Details,0
\brneric code 01 EFFO,0
Code,0
Chdlan Type,0
Ot c&ctim bai,0
morth,0
Amoun ah uted Accoun I,0
Amotr-* attriuted 2,0
CNN,0
Accout 10,0
4.10E+12,0
Branch,0
PA RWANOO,0
Value,0
TNMAS0030902000,0
18-Mar,0
'1881410,0
492911,0
2.16E+12,0
5318858,0
'9145,0
16-04-2018 2:10,0
ESC. R R,0
16/04/2018 YS9 P,0
Giiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii'kiii>,0
"äiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii""iiiiiiiiiiiiiiiiiiiiii",0
"""iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii",0
"Niiiiiii""iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii",0
"Kiiiiiii""iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii",0
\iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,0
"""iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii",0
Eiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,0
Eiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,0
Eiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,0
'iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii'ii±,0
'iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,0
Eiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,0
"Giiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii""iiiiiiiiiiiiiiiiiiiiii",0
Eiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,0
"äiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii""iiiiiiiiiiiiiiiiiiiiiii",0
Niiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,0
\iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiüii,0
"""iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii",0
"""iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii",0
'iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,0
Giiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,0
Giiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,0
Éiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,0
Niiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,0
"""iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii",0
"""iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiüiü*",0
"""iiiiiiiiiiiiiiiiiiiiii""iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii",0
"""iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii",0
Éiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,0
"""iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii""iiiiiiiiiiiiii",0
\iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,0
Eiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,0
Kiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,0
"kiiiiiiiiiiiiiiii""iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii",0
Siiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,0
"Eiii""iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii",0
"åiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii""iiiiiiiiiiiiiiiiiiii",0
Eiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,0
Siiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,0
8,0
nordnet,0
FAKTURASPECIFIKATION,0
Förmånsgrupp: Tjänstepension (F),0
"19651224-7930 Tobias soft, 0505695697",0
Tilläggsavisering,0
Tjönstepensionsförsäkrlng,0
fondförsäkring,0
"19670823-9451 Christopher D'souzo, 0506350309",0
T Elltggsovisering,0
Tjönstepensionsförsökring,0
fond}örsäkräng,0
"19701002-1389 Gehan T Abd El Rahman Colliander, 0505374301",0
Tillöggscvisering,0
Tjänstcpensionsförsökring,0
fondförsökring,0
"19120201-4838 Henrik Ljungberg, 0507680820",0
Tilldggsovisering,0
Tjänstepenslonsfärsäkring,0
fondförsäkrlng,0
"19720524-0331 Peter Berglund, 0505239496",0
Tlllåggsoviserlng,0
Tjänstepensionsförsäk'ing,0
fondförsökring,0
"19750705-2509 Hanna Nyström, 0508558630",0
Tilläggsovisoring,0
TJ6nstepenslonsförsäkring,0
fondfärsäkring,0
19760618-4658 Andreas 0505374210,0
Tiltäggsavisering,0
T}önstepensionsförsäkring,0
fondförsäkring,0
19791104-0157 Simon Andberg. 0507680671,0
TiEäggsavlscring,0
Tjänstepensionsförsökring,0
fandförsdkring,0
"19800321-0575 Erik Joakim Peter Flinck, 0508558603",0
Fakturanr,0
Fakturadatum,0
Sida,0
Premie,0
"10 740,00",0
7 :503.oo,0
2 363.00,0
60 274.00,0
7 160.00,0
"14 413,00",0
28,0
54 444.00,0
"47 256,00",0
4033539901,0
20190122,0
10 740.00,0
"7 303,00",0
2 363100,0
"60 274,00",0
"7 150,00",0
14 413.00,0
"28 640,00",0
54 44400,0
47 25600,0
Tilläggsavisering,0
TJånstepensIonsfärsdkring,0
fondförsäkr[ng,0
Nordret AB W 14 Tel: 8 506 355 05 Fax +46 a 506 67,0
Efioll; www-nortnat.se Org. nr_ 536405-0286 Inr.ehar F-skattsedel Slyrelssns stte: Stockholm,0
"""iiiiiiiiiiiiiiiiiiiiii""iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii",0
Eiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,0
"Giiiiiiiiiiiiiiiiiiiiiiiii""iiiiiiiiiiiiiiiiiiiiiiiiiiiiii",0
Kiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,0
*iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,0
\iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,0
'iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,0
Eiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,0
WIPRO LTD CDC 5,0
IENT CO LIENT NA,0
003373 WIPRO,0
003313 WIPRO LT,0
003373 WIPRO LT,0
003373 WIPRO LT,0
003373 WIPRO LT,0
003373 WIPRO LT,0
003373 WIPRO,0
003373 WIPRO LT,0
003373 WIPRO L,0
003373 WIPRO,0
003373 WIPRO LT,0
003373 WIPRO L,0
003373 WIPRO LT,0
003373 wlPR0 LT,0
003373 WIPRO L,0
003373 WIPRO L,0
003373 WIPRO L,0
003373 WIPRO LT,0
003373 W'PRO L,0
003373 WIPROL,0
003373 WIPRO LT,0
003373 WIPROLT,0
3373,0
WIPRO LT,0
3373,0
WIPRO LT,0
003373 WIPROLT,0
003373 LT,0
003373 WIPROLT,0
003373 WIPROLT,0
003373 WIPROL,0
003373 WIPRO L,0
3373,0
WIPRO L,0
3373,0
WIPRO L,0
3373,0
wiPRO LT,0
3373,0
WIPRO L,0
3373,0
WIPRO L,0
3373,0
003373 WIPROLT,0
WIPRO L,0
3373,0
003373 WIPRO L,0
003373 WIPRO LT,0
003373 WIPROLT,0
003373 WIPRO L,0
003373 WIPRO L,0
003373 WIPRO LT,0
003373 wtPRO LT,0
003373 WIPRO,0
003373 WIPRO L,0
3373,0
WIPRO LT,0
003373 LT,0
003373 WIPROLT,0
[113373,0
WIPRO LT,0
3373,0
WIPRO LT,0
003373 WIPROLT,0
3373,0
WIPRO L,0
3373,0
WIPRO L,0
003373 WIPRO LT,0
WIPRO L,0
NT AD,0
Emp No.,0
CDC5 875267,0
CDC5 875557,0
CDC5 875608,0
CDC5 875698,0
CDC5 875700,0
CDC5 875106,0
CDC5 875848,0
CDC5 875899,0
CDC 5,0
875904,0
CDC5 875984,0
CDC5 876065,0
CDC5 876412,0
CDC S,0
876554,0
CDC5 876637,0
CDC 5,0
876647,0
CDC 5,0
876744,0
CDC 5,0
876745,0
CDC5 876810,0
CDC 5,0
876848,0
CDC 5,0
877071,0
CDC 5,0
877073,0
CDC 5,0
877363,0
CDC 5,0
877446,0
CDC 5,0
877463,0
CDC 5,0
877549,0
CDC 5,0
172261,0
CDC 5,0
29802/,0
342353,0
CDC 5,0
CDC 5,0
390991,0
CDC 5,0
393358,0
CDC 5,0
397001,0
CDC 5,0
397085,0
CDC 5,0
399874,0
CDC 5 420509,0
CDC S,0
446449,0
CDC S,0
446451,0
CDC5 451610,0
CDC5 451884,0
CDC 5,0
452433,0
CDC 5,0
453132,0
CDC 5 453351,0
CDC 5 453910,0
cocs 491866,0
cocs 492677,0
CDC5 503990,0
CDC 5,0
507399,0
cocs 513836,0
CDC 5,0
514839,0
CDC5 523708,0
CDC5 530205,0
CDC 5,0
552258,0
CDC 5,0
600263,0
CDC 5,0
607714,0
CDC 5,0
609925,0
CDC 5,0
645220,0
CDC 5,0
645230,0
CDC 5,0
646044,0
Emp Nam o,0
Desig,0
PRADEEP KUMAR SAHOO,0
GND,0
RAM YASH RAY,0
GND,0
MANOJ KUMAR ROUT,0
GND,0
SUBRATA TRIPURA,0
GRO,0
MANOJ KUMAR GUPTA,0
GRO,0
PARAMESWAR BEHERA,0
GRE),0
DEBAKANTA MURMU,0
GRD,0
BALARAM JENA,0
GRE),0
BANSINGH HANSDA,0
GRO,0
ALAMIN ISLAM,0
GRO,0
SURAJIT PAL,0
GRD,0
PANDABA CHARAN SINGH,0
GRO,0
RUPAN SARKAR,0
GRD,0
BINAYA KUMAR PRADHAN,0
G RD,0
JNYANA RANJAN BHOI,0
GRO,0
SAROJ KUMAR BHUYAN,0
GRO,0
KISHORE CHANDRA NAYAK,0
GRO,0
HIMANSHU SEKHAR JENA,0
GRD,0
SANTOSH KUMAR SAHOO,0
GRD,0
HARIHARA DHAL,0
GRD,0
KIRAN KUMAR ROUTARAY,0
GRD,0
SUMANTA 31SWAL,0
GRD,0
MANO RAUL,0
GRD,0
PRAKASH CHHATFUA,0
GRD,0
RADHA MOHAN BAL,0
GRD,0
PRASENJIT NAMA DAS,0
GRD,0
SIBA SANKAR MAHAU,0
GRD,0
MANU] RAI,0
GRD,0
AVROBINDA DAS,0
GRD,0
PRASANTA KUMAR SWAIN,0
GRO,0
DAMODAR BEHERA,0
GRD,0
SUNIL KUMAR MISHRA,0
GRD,0
RAJ KUMAR MALAH,0
GRD,0
SURESH CHANDRA ROUT,0
GRD,0
HRUSHIKESHA PADHAN,0
GRD,0
PRATIP KUMAR NAIK,0
GRD,0
SUJIT KUMAR DAS,0
GRD,0
MD. ANUWAR HUSSAIN,0
GRD,0
GRO,0
THANASUNDAR JANI,0
BAIKLJNTHA BHOI,0
GND,0
UMASHANKAR JENA,0
GRD,0
KAILASHA CHAUDHURY,0
GRD,0
DERHACHAT BASUMATARY GRD,0
DEORI,0
GND,0
PUSALAPATI VELANGINIRAJ GND,0
SARAVANAN J,0
GRD,0
RAJKISHORE BEHERA,0
GRO,0
DIPANKAR RAY,0
GRO,0
urrAM KUMAR DEY,0
GRD,0
RAHUL BASUMATARY,0
GRO,0
DEBASIS MOHANTY,0
GRO,0
SUMANTA KUMAR DASH,0
GRO,0
MAHAR ALI,0
